12,16,19.2,24
4,6,8,10,12,4,6,8,10,12
10,20
Douglas_fir-larch SS 6-10 10-9 14-3 18-2 22-1 6-10 10-9 14-3 18-2 21-2
Douglas_fir-larch SS 5-5 8-7 11-3 13-9 15-11 5-5 8-4 10-7 12-11 15-0
Douglas_fir-larch #1 5-0 7-4 9-4 11-5 13-2 4-9 6-11 8-9 10-9 12-5
Douglas_fir-larch #2 4-8 6-31 8-9 10-8 12-4 4-5 6-6 8-3 10-0 11-8
Douglas_fir-larch #3 3-7 5-2 6-7 8-1 9-4 3-4 4-11 6-3 7-7 8-10
Hem-fir SS 5-2 8-1 10-8 13-6 13-11 5-2 8-1 10-5 12-4 12-4
Hem-fir #1 4-11 7-2 9-1 11-1 12-10 4-7 6-9 8-7 10-6 12-2
Hem-fir #2 4-8 6-9 8-7 10-6 12-2 4-4 6-5 8-1 9-11 11-6
Hem-fir #3 3-7 5-2 6-7 8-1 9-4 3-4 4-11 6-3 7-7 8-10
Southern_pine SS 5-4 8-5 11-1 14-2 17-2 5-4 8-5 11-1 14-2 17-2
Southern_pine #1 5-3 8-3 10-5 12-5 14-9 5-3 7-10 9-10 11-8 13-11
Southern_pine #2 5-0 7-3 9-4 11-1 13-0 4-9 6-10 8-9 10-6 12-4
Southern_pine #3 3-9 5-7 7-1 8-5 10-0 3-7 5-3 6-9 7-11 9-5
Spruce-pine-fir SS 5-0 7-11 10-5 12-9 14-9 5-0 7-9 9-10 12-0 12-11
Spruce-pine-fir #1 4-8 6-11 8-9 10-8 12-4 4-5 6-6 8-3 10-0 11-8
Spruce-pine-fir #2 4-8 6-11 8-9 10-8 12-4 4-5 6-6 8-3 10-0 11-8
Spruce-pine-fir #3 3-7 5-2 6-7 8-1 9-4 3-4 4-11 6-3 7-7 8-10
